Name,Pre 2015,In 2023,Category,District,State,Year Start,Year Start Revise,Listener Base,PinCode,Broadcast Frequency,Language,,latitude,longitude,,
Guruwani Community Radio,,,EDU,,Maharashtra,2019,,200000,421301,90.8,"Marathi, Hindi, English","3, 4, 5, 6, 13, 16",19.26235,73.12291,,
Radio Mango,,,EDU,Kolhapur,Maharashtra,2022,,,416001,90.4,"Marathi, Hindi","4, 5, 11, 13",16.601162,74.147485,,
Dnyanvardhini Radio,,,EDU,Pune,Maharashtra,2023,,500000,413106,90.4,Marathi,"1, 3, 4, 5, 6, 13",18.15178,74.9548,,
Diamond Radio,,,NGO,Thoubal,Manipur,2017,,75000,795148,91.2,"Manipuri, English, Local Languages","3, 4, 15, 16",24.58997,94.02341,,
Radio FEEDS,,,NGO,Senapati,Manipur,2019,,40000,795129,91.2,"Manipuri, Thadou","4, 6, 8",25.18029,93.97847,,
Radio Nongin,,,NGO,Thoubal,Manipur,2020,,500000,795001,90.8,Meiteilon,"3, 4, 5, 12",28.53962,77.25911,,
Hills FM,,,NGO,Dimapur,Nagaland,2022,,,797112,90.8,"Hindi, English, Nagamese","3, 5, 13, 15",25.80462,93.7501,,
Radio Surabhi,,,NGO,Khordha,Odisha,2015,,100000,752091,90.4,"Odia, Hindi, English","3, 4, 5, 6, 8, 11, 13, 17",20.27873,84.71104,,
Radio Sanskar,Yes,,NGO,Jagatsinghpur,Odisha,2011,,70000,754103,91.2,Odia ,"4, 5, 6, 8, 12",20.10456,86.2014,,
Dhimsa Radio,,,NGO,Koraput,Odisha,2008,,160000,764020,90.4,"Odia, Local Language","3, 4, 5, 6, 8",18.78568,82.70709,,
Radio Kissan,Yes,,NGO,Khordha,Odisha,2012,,30000,752102,90.8,Odia ,"2, 12, 15",20.08991,85.99443,,
Radio Upakaar,,,NGO,Kendujhar,Odisha,2020,,86000,758027,90.4,"Odia, Hindi, Local Language","3, 4, 5, 8, 13",21.45554,85.9113,,
Radio Swaraj,,,NGO,Jajpur,Odisha,2018,,150000,755044,90.4,Odia ,"3, 4, 5, 6, 13",20.703667,86.083542,,
Radio Swagatam,,,NGO,Kendujhar,Odisha,2018,,,758027,91.2,"Odia, Hindi, English, Local Language","4, 5, 12",21.45554,85.9113,,
Radio Muskan,,,NGO,Kandhamal,Odisha,2012,,30000,762001,90.4,"Odia, Kui","3, 4, 5, 11",20.46728,84.24824,,
Radio Janavani,,,NGO,Gajapati,Odisha,2017,,30000,761200,90.8,Odia,"2, 3, 4, 8",20.31233,85.8202,,
Radio Namaskar,Yes,,NGO,Puri,Odisha,2010,,500000,752111,90.4,"Odia, Hindi, Telegu","2, 4, 12, 15",19.97009,86.17764,,
Radio Swayamshakti,,,NGO,Naupada,Odisha,2015,,35000,766107,90.4,"Odia, Hindi, Koshali","3, 4, 12, 13",20.59729,82.5821,,
Radio Hirakhand,,,NGO,Cuttack,Odisha,2018,,150000,768001,90.8,"Odia, Sambalpuri","4, 5, 7, 8, 11",21.47514,84.00287,,
Radio Utkal,,,NGO,Cuttack,Odisha,2021,,25000,753003,91.2,"Odia, Hindi, English","3, 4, 5, 6, 8, 11, 13",20.46789,85.89086,,
Radio Sampark,,,NGO,Khordha,Odisha,2021,,200000,754207,89.6,"Odia, Hindi","1, 2, 3, 4, 5, 6, 8, 12, 13",20.4922,86.205684,,
Radio Sikhya,,,NGO,Khordha,Odisha,,,40000,757001,90.4,"Odia, Hindi","3, 8, 9, 12",21.93809,86.746666,,
Radio Swarsangam,,,NGO,Naupada,Odisha,2022,,20000,766108,90.8,"Odia, Sambalpuri","4, 5, 8",20.27827,82.57709,,
Radio Bhabagrahi,,,NGO,Kendrapara,Odisha,2022,,30000,754250,90.4,"Odia, Hindi, English","4, 5, 6, 8, 12",20.560577,86.342746,,
Voice of SOA Community Radio,Yes,,EDU,Bhubaneswar,Odisha,2012,,,751030,90.4,"Odia, Hindi, English","3, 4, 13",20.26247,85.782042,,
Ravenshaw Radio,Yes,,EDU,Cuttack,Odisha,2011,2014,10000,753003,90.4,"Odia, Hindi, English","3, 4, 5, 8, 13",20.470471,85.90234,,
Radio Bulbul,,,NGO,Bargah,Odisha,2017,,,756100,91.2,"Odia, Hindi, English, Urdu","3, 4, 5, 10",21.10054,86.51546,,
Puduvai Vaani CRS,Yes,,EDU,Puducherry,Puducherry,2008,,40000,605014,107.8,"Tamil, English, Hindi","3, 4, 5, 6, 11, 13",12.06752,79.80638,,
Nila Community Radio,Yes,,EDU,Puducherry,Puducherry,2005,2006,12500,605107,90.4,Tamil ,"3, 5, 6, 8",11.93906,79.6481,,
Pudiya Udayam,,,NGO,Puducherry,Puducherry,2015,,20000,605001,91.2,Tamil ,"2, 3, 4, 5, 6, 8",11.929721,79.826873,,
Radio Punjab,,,EDU,Mohali,Punjab,2021,,105000,140413,90,Punjabi,"3, 4, 5, 11, 13, 16",29.50468,77.71173,,
Radio Raabta,,,EDU,Jalandhar,Punjab,2017,,,144004,90.8,"Punjabi, Hindi, English","4, 9, 12, 13",32.06384,75.42046,,
GNA Radio,,,EDU,Kapurthala,Punjab,2021,,,144401,90,"Punjabi, Hindi, English","4, 5, 10, 11, 13",31.21741,75.7909,,
VWS Radio,,,EDU,Firozpur,Punjab,2022,,55000,152004,90.8,"Punjabi, Hindi, English","2, 3, 4, 5, 10",28.30393,77.08868,,
Avtar Community Radio,Yes,,NGO,Jalandhar,Punjab,,2012,55000,144701,90.4,Punjabi,"3, 6, 13, 15",25.07396,85.72409,,
Radio Banasthali,Yes,No,,Tonk,Rajasthan,,2005,,304022,90.4,"Rajasthani, Hindi",,26.39038,75.90366,,
Radio Eminent,Yes,No,,Tonk,Rajasthan,,2008,,304502,90.4,"Rajasthani, Hindi",,26.50104,75.35397,,
CRS Radio-7,Yes,,NGO,Jaipur,Rajasthan,2015,2005,20000,302020,90.4,"Rajasthani, Hindi","3, 4, 16",26.852381,75.76622,,
Alwar ki Awaz,Yes,,EDU,Alwar,Rajasthan,2013,,125000,301030,90.8,"Rajasthani, Hindi, English","4, 5, 8, 9",27.502024,76.675922,,
Radio Madhuban,Yes,,EDU,Sirohi,Rajasthan,2011,,180000,307510,90.4,"Hindi, English, Gujarati, Marwari, Tribal","3, 4, 5, 11",24.646,72.97719,,
Kamalvani CRS,Yes,,NGO,Jhunjhunu,Rajasthan,2012,,15000,333042,90.4,"Rajasthani, Hindi","1, 2, 4, 6",27.87361,75.37191,,
Kisanvani Deeg,,,NGO,Bharatpur,Rajasthan,2018,,,321001,90.8,"Hindi, Brij","4, 5, 8, 12",28.56156,77.35886,,
Chetna Radio,,,NGO,Hanumangarh,Rajasthan,2021,,50000,225063,90.4,"Punjabi, Hindi ","2, 3, 5, 12",,,,
Aapano Radio Jhunjhunu ki Awaz,,,NGO,Jhunjhunu,Rajasthan,2022,,50000,333001,91.2,"Hindi, English, Marwari","4, 8, 12, 16",27.87361,75.37191,,
Radio Ginni,,,EDU,Tonk,Rajasthan,2022,,5000,304021,90.8,"Hindi, English, Local Language","3, 5, 11, 16",26.4877,75.98308,,
FM Sikar,,,NGO,Sikar,Rajasthan,,,500000,332001,89.6,"Hindi, Marwari","1, 4, 5, 8",27.61407,75.14847,,
Radio FM 24 Bhiwadi,,,NGO,Alwar,Rajasthan,2021,,100000,301019,90.8,Hindi ,"3, 4, 5, 8, 10",28.16596,76.87325,,
Radio JNU,,,EDU,Jaipur,Rajasthan,2021,,15000,303012,89.6,"Hindi, English","3, 4, 8",26.86725,75.969547,,
V1 Radio,,,NGO,Jalore,Rajasthan,,,5000,343001,90.8,Hindi ,"3, 4, 5, 16",25.341267,72.591462,,
Radio Jhunjhunu,,,NGO,Jhunjhunu,Rajasthan,2022,,200000,333001,90.9,Hindi ,"4, 5, 16",27.87361,75.37191,,
Vagad Radio,,,EDU,Banswara,Rajasthan,2017,,147000,327026,90.8,"Hindi, Vaagdi","3, 4, 8, 12",23.77407,74.37781,,
Kisanvani Kota Digod,,,NGO,Kota,Rajasthan,2016,,20000,324001,90.4,Local Language,"3, 5, 6",25.185503,75.870824,,
Radio Selfie,,,NGO,Jaipur,Rajasthan,,,20000,302039,90.8,"Hindi, English, Marwari","3, 4, 5",26.94427,75.77717,,
Radio Tilonia,Yes,,EDU,Ajmer,Rajasthan,2009,,35000,305716,90.4,"Hindi, English, Marwari","4, 5, 12",,,,
Radio Rajasthan,,,EDU,Sikar,Rajasthan,,,400000,,91.2,"Hindi, Shekhawati","3, 4, 5, 10",,,,
Radio Kanchenjunga,,,NGO,West Sikkim,Sikkim,2011,,,737113,91.2,Nepali,"3, 4, 5, 6, 12",27.396166,88.129139,,
PARD Vaanoli,Yes,No,,Madurai,Tamil Nadu,,2009,,625020,91.2,Tamil,,9.91443,78.15109,,
Anna Community Radio,Yes,,EDU,Chennai,Tamil Nadu,2004,,17000,600025,90.4,"Tamil, English","3, 4, 5, 11",12.9596,80.05824,,
Shyamalavani Community Radio,Yes,,EDU,Madurai,Tamil Nadu,2011,,,625022,90.4,"Tamil, English, Hindi","4, 5, 12",9.85388,77.93151,,
Kongu Community Radio,Yes,,EDU,Erode,Tamil Nadu,2004,2005,8000,638060,90.4,Tamil,"3, 4, 6, 13",,,,
MOP Community Radio Station,Yes,,EDU,Chennai,Tamil Nadu,2005,,,600034,107.8,"Tamil, English","3, 4, 5, 11, 13, 14",13.06162,80.23474,,
Mugil CRS,,,EDU,Erode,Tamil Nadu,2005,,12000,638057,91.2,Tamil,"3, 4, 5, 9, 10",11.315459,77.527546,,
Loyola Community Radio,Yes,,EDU,Chennai,Tamil Nadu,2005,,,600034,107.4,"Tamil, English","4, 5, 10, 16",13.06162,80.23474,,
Pasumai Community Radio,Yes,,EDU,Dindigul,Tamil Nadu,2007,,,624005,90.4,Tamil,"1, 2, 3, 4, 5, 6, 8",10.42855,77.99054,,
Holy Cross Campus Community Radio,,,EDU,Tiruchirapalli,Tamil Nadu,2006,,4000,620002,90.4,Tamil,"3, 4, 5, 6, 10, 11, 12, 13",10.82532,78.69614,,
SRM Muthucharam Community Radio,Yes,,EDU,Kanchipuram,Tamil Nadu,2007,2006,60000,603203,90.4,"Tamil, English, Hindi","3, 5, 11",12.83907,80.04307,,
PSG Community Radio,Yes,,EDU,Coimbatore,Tamil Nadu,2007,,48800,641004,107.8,"Tamil, English","3, 6, 13,15",11.032154,77.004626,,
Sivanthi Community Radio,,,EDU,Thoothukudi,Tamil Nadu,2007,,10000,628216,90.4,"Tamil, English","4, 5, 8, 11, 15",8.53422,78.10391,,
Kalanjiam Samuga Vanoli,Yes,,NGO,Madurai,Tamil Nadu,2009,,15000,611103,90.8,Tamil,"1, 2, 8, 12",10.61409,79.84034,,
KSR Community Radio,Yes,,EDU,Namakkal,Tamil Nadu,2010,,7000,637215,90.4,"Tamil, English","2, 4, 5, 6, 15",11.372539,77.825292,,
TNAU Vivasayee CRS,Yes,,KVK,Coimbatore,Tamil Nadu,2010,,10000,641003,107.4,Tamil,"2, 3, 8, 13",11.01343,76.93614,,
Ilanthalir CRS,Yes,,EDU,Kanchipuram,Tamil Nadu,2008,,20000,602105,107.2,Tamil,"3, 4, 5, 13",12.8196,79.96195,,
Rathinavani Community Radio,,,EDU,Coimbatore,Tamil Nadu,2013,,27000,641021,90.8,"Tamil, English","3, 4, 5, 8, 9, 13",11.04558,77.01058,,
Vayalaga Vanoli,Yes,,NGO,Madurai,Tamil Nadu,2011,,75000,625103,90.4,Tamil,"1, 2, 5, 8",10.18989,78.36692,,
AGN School CRS,Yes,,EDU,Salem,Tamil Nadu,2014,,3000,637102,91.2,"Tamil, English","4, 5, 6, 15, 16",11.553867,77.89389,,
SSM CR,Yes,,EDU,Namakkal,Tamil Nadu,2012,,,638183,90.8,"Tamil, English","3, 4, 6, 13",11.39466,77.76528,,
Thendral Community Radio,Yes,,NGO,Chennai,Tamil Nadu,,2014,10000,600041,91.2,"Tamil, English","3, 4, 6, 13",12.973548,80.26001,,
VIT Community Radio,Yes,,EDU,Vellore,Tamil Nadu,2014,,100000,632014,90.8,"Tamil, English","3, 4, 5, 7, 8",12.96965,79.15799,,
Radio Kotagiri,Yes,,NGO,Nilgiris,Tamil Nadu,2013,,,643217,90.4,"Tamil, English, Hindi, Malayalam, Local Languages","3, 5, 6, 13, 15",11.52334,76.94126,,
PGP Community Radio,Yes,,EDU,Namakkal,Tamil Nadu,2010,,2000,637207,90.8,"Tamil, English","2, 4, 5, 6, 15, 16",11.29699,78.13112,,
Periyar Community Radio,Yes,,EDU,Thanjavur,Tamil Nadu,,2007,40000,613403,90.4,Tamil,"3, 4, 5, 8, 13",10.68456,79.06331,,
Bannari Amman Community Radio,,,EDU,Erode,Tamil Nadu,2016,,20000,638401,90.4,"Tamil, English, Hindi","3, 5, 13, 15",11.45232,77.40907,,
Arasu,,,EDU,Thanjavur,Tamil Nadu,2017,,10000,612501,90.4,"Tamil, English","3, 4, 6, 13",11.008287,79.369083,,
BWDA Community Radio,,,NGO,Viluppuram,Tamil Nadu,2018,,8000,605602,90.4,"Tamil, English","3, 4, 5, 6, 8",11.95579,79.49197,,
Adirai,,,EDU,Thanjavur,Tamil Nadu,2016,,10000,614701,90.4,Tamil,"3, 4, 5, 8, 9",10.32157,79.36559,,
NITT Radio,,,EDU,Thiruchirapalli,Tamil Nadu,2016,,,620015,90.8,Multiple Languages,"4, 5, 8",10.745006,78.849589,,
Kadal Osai,,,NGO,Ekkathuangal,Tamil Nadu,2016,,,623521,90.4,Tamil,"3, 4, 5, 13, 14",9.2735,79.22761,,
Pudhugai,,,NGO,Pudukkottai,Tamil Nadu,2021,,15000,622003,91.2,Tamil,"4, 5, 6, 15, 16",10.35958,78.81533,,
Sruthi Community Radio,,,EDU,Kanchipuram,Tamil Nadu,,,30000,631561,90.8,Tamil,"4, 5, 11, 13",12.870474,79.796052,,
ANJAC Radio,,,EDU,Salem,Tamil Nadu,2022,,30000,626124,90.4,Tamil,"3, 4, 5, 6",9.96108,78.11174,,
Alagappa University Community Radio,,,EDU,Sivaganga,Tamil Nadu,2021,,,630001,90.8,"Tamil, English","8,5, 3, 6, 16",10.06692,78.76533,,
EGS Pillay CRS,,,EDU,Nagapattinam,Tamil Nadu,2022,,,611002,90,"Tamil, English","3, 4, 6, 13",10.81196,79.83915,,
JKKM Community Radio,,,EDU,Erode,Tamil Nadu,2021,,12000,638506,89.6,Tamil,"4, 5, 8, 12",11.52001,77.40831,,
JSiragugal Community Radio,,,NGO,Karur,Tamil Nadu,2022,,15000,639004,89.6,Tamil,"1, 4, 8",10.98125,78.14055,,
Sona FM,,,NGO,Salem,Tamil Nadu,2022,,,636302,89.6,Tamil,"2, 3, 4, 8, 11",11.681,78.12543,,
Mahendra Community Radio,,,EDU,Salem,Tamil Nadu,2022,,5000,636106,90.4,Tamil,"4, 5, 7, 8",11.62681,78.25392,,
Tirupur Radio,,,NGO,Tirupur,Tamil Nadu,2020,,10000,641607,90.4,Tamil,"1, 3, 4, 8",11.11629,77.37403,,
Deccan Radio,Yes,No,,Hyderabad,Telangana,,2009,,500001,107.8,"Telegu, Hindi, English, Urdu",,17.38492,78.46823,,
Sangham Radio,Yes,No,,Medak,Telangana,,2008,,502318,90.4,Telegu,,17.72267,77.66367,,
Radio Charminar,,,EDU,Hyderabad,Telangana,2015,,,500002,107.8,"Hindi, Urdu","3, 10",17.360559,78.478036,,
Radio Swarna CGC,,,NGO,Hyderabad,Telangana,,,200000,501301,90.8,Telegu,"4, 5, 8, 17",17.49726,78.59996,,
Pragnya FM,,,EDU,Hyderabad,Telangana,2016,,14000,500090,90.4,Telegu,"4, 5, 6",17.50953,78.38498,,
Bol Hyderabad,Yes,,EDU,Hyderabad,Telangana,2011,,150000,500046,90.4,"Telegu, Hindi, English","3, 4, 8, 9, 10",17.456703,78.33017,,
VJMS Awaaz Wanaparthy,,,NGO,Mahbubnagar,Telangana,2019,,500000,509103,90.4,"Telegu, Hindi, English","3, 4, 5, 8, 12",16.44709,77.88564,,
Radio Manjeera,,,NGO,Medak,Telangana,2018,,9000,502001,90.8,"Telegu, Hindi","3, 5, 15",14.05806,78.75282,,
Friends CR,,,NGO,West Tripura,Tripura,2017,,30000,799004,90.4,"Bengali, Kokborok, Hindi, English","3, 4, 5, 10, 16",23.81634,91.28054,,
NIVH Hello Doon,Yes,,EDU,Dehradun,Uttarakhand,2012,,60000,248009,91.2,"Hindi, English, Garhwali, Kumaoni","4, 5, 10, 16",25.8566,85.29321,,
Pantnagar Janvani,Yes,,KVK,Udham Singh Nagar,Uttarakhand,2011,,,263145,90.8,Hindi,"3, 4, 5, 10, 11, 13",28.96415,79.40826,,
Mandakini Ki Aawaz,Yes,,NGO,Rudraprayag,Uttarakhand,2014,,180000,246425,90.8,"Hindi, Garhwali","5, 9, 10, 11",30.36189,79.00418,,
Henvalvani Community Radio,Yes,,NGO,Tehri Garhwal,Uttarakhand,2012,,,249145,90.4,Hindi,,30.37476,78.39266,,
Radio Zindagee,Yes,,NGO,Dehradun,Uttarakhand,2014,,,248002,90.8,"Hindi, Garhwali","2, 3, 4, 8",22.61097,88.37027,,
Radio Kedar,,,NGO,Rudraprayag,Uttarakhand,2022,,20000,246442,91.2,"Hindi, Garhwali, English","3, 4, 5, 7, 8, 13",30.356474,79.075804,,
Radio Gham Chhaya,,,NGO,Dehradun,Uttarakhand,2021,,,248003,90,"Hindi, Nepali","3, 5, 8, 15",30.362454,78.048075,,
Radio Masti,,,NGO,Haridwar,Uttarakhand,2022,,200000,249407,89.6,Hindi,"4, 6, 13, 15",29.92654,78.102273,,
Radio Khushi,Yes,,EDU,Mussoorie,Uttarakhand,2010,,300000,248179,90.4,"Hindi, English, Punjabi, Garhwali, Jaunsari","3, 4, 5, 11, 13",30.458437,78.042368,,
Kumaon Vani,Yes,,NGO,Nainital,Uttarakhand,2010,,,263137,90.4,"Hindi, Kumaoni","3, 4, 5, 13, 15",29.429525,79.554724,,
Radio Rishikesh,,,,Rishikesh,Uttarakhand,2023,,,249201,90,"Hindi, Garhwali, Kumaoni","3, 6, 11, 13",32.70731,74.87593,,
Radio Garhvani,,,,Kotdwara,Uttarakhand,,,,246149,90.8,"Hindi, English, Garhwali, Kumaoni","6, 7, 11, 13",29.61406,78.60875,,
Hello Haldwani,Yes,No,,Haldwani,Uttarakhand,,2012,,263139,91.2,"Hindi, English, Garhwali, Kumaoni",,29.152064,79.605288,,
Himgiri ki Awaaz,Yes,No,,Dehradun,Uttarakhand,,2014,,,107.8,"Hindi, English",,,,,
BBD Community Radio,Yes,No,,Lucknow,UP,,2014,,226028,90.8,"Hindi, Awadhi, Bhojpuri, English",,26.9312,81.04311,,
CMS DC CR,Yes,No,,Lucknow,UP,,2005,,226001,90.4,"Hindi, Local language",,26.8432,80.9423,,
Ghazipur CR,Yes,No,,Ghazipur,UP,,2005,,233001,90.4,"Hindi, Bhojpuri",,25.56284,83.55422,,
Radio Amity,Yes,No,,Gautam Buddha Nagar,UP,,2013,,201303,107.8,"Hindi, English",,28.549857,77.349671,,
Radio Noida Lok Manch,Yes,No,,Gautam Buddha Nagar,UP,,2014,,201306,91.2,"Hindi, Local language",,28.56394,77.44575,,
City Montessori School Community Radio,Yes,,EDU,Lucknow,UP,2005,,100000,226010,90.4,Hindi,"3, 4, 5, 6, 8, 13, 14, 15",26.853864,81.042343,,
Radio IIMT,,,EDU,Meerut,UP,2007,,2000000,250401,90.4,Hindi,"3, 4, 10, 13, 16",29.118898,77.859596,,
Radio Adan,Yes,,KVK,Allahabad,UP,2008,,,211007,90.4,"Hindi, English, Local Language","1, 4, 5, 10, 12, 13",25.40279,81.85133,,
IITK CR,Yes,,EDU,Kanpur Nagar,UP,2010,,85000,208016,90.4,"Hindi, English","3, 4, 5, 8, 10, 11, 12, 13",26.20075,91.68528,,
Radio Noida,Yes,,EDU,Gautam Buddha Nagar,UP,2009,,50000,201301,107.4,Hindi,"3, 4, 5, 8, 16",28.58212,77.326699,,
Lalit Lokvani,Yes,,NGO,Lalitpur,UP,2010,,160000,284403,90.4,"Hindi, Bundeli","1, 3, 5, 6",24.74928,78.56708,,
Hint Radio,Yes,,EDU,Ghaziabad,UP,2009,2010,,201002,90.4,Hindi,"3, 4, 5, 8, 13",28.6453,77.16785,,
Agra Ki Awaz,Yes,,EDU,Agra,UP,2010,,,282002,90.4,"Hindi, English","3, 4, 8, 15, 16, 17",27.1941,78.00933,,
Voice Of Azamgarh,Yes,,NGO,Azamgarh,UP,2012,2011,45000,276206,90.8,"Hindi, Urdu, Bhojpuri","3, 4, 5, 6, 11",26.096357,83.003908,,
Kisan Radio,,,NGO,Basti,UP,2012,,40000,272001,90.4,"Hindi, Bhojpuri","1, 3, 4, 5, 16",26.793343,82.740109,,
FM Alive,Yes,,NGO,Aligarh,UP,2015,2014,,202002,90.8,Hindi,"4, 5, 8, 10, 12, 15",27.843229,77.996704,,
Waqt ki Awaaz,Yes,,NGO,Kanpur Nagar,UP,2013,,,209204,91.2,"Hindi, Awadhi","1, 2, 3, 4, 5, 6, 7, 13",26.72149,80.09142,,
Radio Narad,,,EDU,Aligarh,UP,2019,,60000,202146,90.4,"Hindi, English, Brij","1, 3, 4, 8, 9",26.72149,80.09142,,
Suno Sharda,,,EDU,Gautam Buddha Nagar,UP,2015,,110000,201306,90.8,"Hindi, English, Gujjari","3, 4, 5, 6, 8, 13",28.56394,77.44575,,
Radio SD,,,EDU,Muzaffarnagar,UP,,,,251306,90.8,Hindi,"1, 4, 15, 16",19.29915,73.0582,,
Radio Gorakhpur,,,NGO,Gorakhpur,UP,2018,,,273209,90.8,"Hindi, English, Bhojpuri","1, 2, 3, 4, 5, 6, 7, 13",26.67445,83.14413,,
Gorakhvani,,,NGO,Gorakhpur,UP,2019,,20000,273003,90.4,"Hindi, English, Bhojpuri","4, 8, 10, 11",26.78632,83.39451,,
Loudspeaker,,,NGO,Gorakhpur,UP,2019,,50000,226016,90,Bhojpuri,"4, 5, 8, 10",26.88092,80.97111,,
JNS Radio,,,NGO,Amroha,UP,2017,,22000,244231,90.8,Hindi,"4, 5, 6, 8, 13",28.96758,78.45433,,
Radio Badaun,,,NGO,Badaun,UP,2019,,34000,243601,90.4,Hindi,"11, 12, 15",24.87709,85.53749,,
Radio RBL India,,,NGO,Rae Bareili,UP,2022,,,229001,90.4,"Hindi, English, Local Language","4, 5, 10,11",26.2847,81.36627,,
Kabir Radio,,,NGO,Basti,UP,2018,,35000,272175,107.8,"Hindi, Bhojpuri","4, 5, 13, 14, 15",26.88682,83.0907,,
Radio Nageen,,,NGO,Meerut,UP,2018,,12000,250001,107.8,"Hindi, English","3, 4, 5, 11",29.018865,77.768095,,
KGMU Goonj,,,EDU,Lucknow,UP,2022,,,226003,89.6,"Hindi, English, Awadhi","11, 17",26.85835,80.91179,,
Radio Rang,,,NGO,Deoria,UP,2022,,300000,274001,89.6,"Hindi, Bhojpuri","3, 4, 12",26.51797,83.78684,,
Half Lemon,,,NGO,Azamgarh,UP,2022,,50000,276001,90.4,"Hindi, Urdu, Bhojpuri","3, 4, 5, 15",26.056521,83.15418,,
Brajvani,,,EDU,Agra,UP,2022,,500000,282004,89.6,"Hindi, English","3, 4, 8, 11",27.21085,77.99489,,
Omni Radio,,,NGO,Basti,UP,2022,,,272001,90,"Hindi, Bhojpuri","4, 5, 8",26.793343,82.740109,,
Radio Kesari,,,NGO,Deoria,UP,,,,274001,90,"Hindi, Bhojpuri","1, 3, 5, 6, 13",26.51797,83.78684,,
Azad Hind Radio,,,EDU,Meerut,UP,,,,249401,90,Hindi,"4, 5, 8, 16, 17",29.976786,78.122234,,
Salaam Namaste Community Radio,,,EDU,Gautam Buddha Nagar,UP,2009,,30000,201303,90.4,"Hindi, English","2, 3, 4, 8, 12",28.549857,77.349671,,
Radio Ambedkarnagar,,,NGO,Ambedkar Nagar,UP,2019,,275000,224231,90.4,"Hindi, Awadhi, Bhojpuri","1, 2, 3, 12, 15",26.417959,82.399421,,
Radio Pragya,,,NGO,Kushinagar,UP,2017,,150000,274304,90.4,"Hindi, Bhojpuri","3, 4, 5, 8, 10, 16",26.94437,84.121,,
Aap Ki Awaz,Yes,,NGO,Agra,UP,,2012,,282007,90.8,"Hindi, English","3, 4, 5, 8, 13",27.244648,77.89389,,
Hello Banaras,,,NGO,Varanasi,UP,2022,,90000,221007,91.2,"Hindi, English, Kashika","1, 3, 5, 6",25.35195,82.99794,,
Hello Unnao,,,EDU,Unnao,UP,2023,,75000,209801,89.6,"Hindi, Awadhi, Bhojpuri","1, 3, 4, 5, 6",26.619856,80.499386,,
Nityananda Janavani,,,NGO,Purulia,West Bengal,2017,,,723151,91.2,"Bengali, Santali","2, 3, 4, 5, 6, 13, 15, 16",23.166016,86.720889,,
Radio Salesian,,,EDU,Darjeeling,West Bengal,2016,,20000,734209,90.8,Nepali,"4, 8, 12, 15",26.95748,88.26052,,
Pallibangla FM Radio,,,NGO,Purba Medinipur,West Bengal,2016,,100000,721629,91.2,Bengali ,"1, 2, 3, 4, 5",22.25364,87.78866,,
Radio Milan,,,NGO,Kolkata,West Bengal,2018,,50000,721507,90.4,"Bengali, Santali","3, 4, 5, 15",22.376932,86.962409,,
Betar Vidyasagar,,,EDU,Purba Medinipur,West Bengal,2020,,5000,721102,90.8,"Bengali, Santali","4, 8, 16",22.43438,87.31658,,
Radio Malda,,,NGO,Malda,West Bengal,2020,,,732101,90.4,Bengali ,"3, 4, 10",25.00272,88.15102,,
Muktadhara,,,NGO,Kolkata,West Bengal,2022,,,743349,89.6,Bengali ,"4, 5, 8, 16",21.99846,88.44129,,
Radio Cooch Behar,,,EDU,Cooch Behar,West Bengal,2022,,30000,736101,89.6,"Bengali, Hindi, English","4, 5, 8",26.33902,89.44471,,
Radio MAKAUT,,,EDU,Nadia,West Bengal,2023,,,741249,90.9,"Bengali, Hindi, English","3, 4, 8, 9",22.53875,88.28257,,
Radio JU,Yes,,EDU,Kolkata,West Bengal,2008,,,700029,90.8,"Bengali, Hindi, English","3, 4, 5, 6, 10, 16",22.52103,88.36309,,
YFM Radio,,,EDU,Kolkata,West Bengal,2013,,,700096,91.2,"Bengali, Hindi, English","3, 4",22.459652,88.365212,,
